,deviceName,farEndInterface,nearEndInterface,neighborDeviceName
0,KMC-HPLEX-3750,GigabitEthernet2/0/52,GigabitEthernet2/0/3,KMC-HPLX-2960-3
1,CHSMC-LAS-EAST5-01,GigabitEthernet0,GigabitEthernet2/0/2,CHSMC-E5-02
2,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-01A-C-37
3,WASTPMCNT-0002D-AS01,GigabitEthernet1/0/2,TenGigabitEthernet1/1/1,WASTPMCNT-0002D-AS10
4,WASTPMCNT-0001C-AS02,TenGigabitEthernet1/1/8,TenGigabitEthernet1/1/1,WASTPMCNT-0001C-AS01
5,AKKOIMCNT-E3334B-AS01,GigabitEthernet0,GigabitEthernet1/0/27,AKKOIMCNT-3344B-12
6,ORSTVMCNT-MBLCA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LCAF248
7,CA-TZMC-NBDG-001A-S01,GigabitEthernet0,nullvalue,CTAR-WP1-W7416-WP1C29
8,CA-TZMC-EBDG-002A-S01,GigabitEthernet0,nullvalue,CTAR-STWR2-We550-3D37
9,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEAE4D6
10,WATKWDCNT-11A04-OS01,FastEthernet0/1,GigabitEthernet1/0/9,WSBY11A9S001
11,FAR-05-4507-1,GigabitEthernet0,GigabitEthernet5/4,FAR-05-3500-4
12,WA-FHMC-ARTO-003A-S81,GigabitEthernet0,GigabitEthernet103/1/0/3,HFAR-03-2600-9
13,WA-FHMC-ARTO-003A-S81,Port 1,GigabitEthernet103/3/0/6,SEP54781A1C55AC
14,WA-FHMC-ARTO-003A-S81,Port 1,GigabitEthernet103/3/0/23,SEP00156259B5AF
15,CLDLV-DAS-CAGE5165-01,eth0,Ethernet134/1/11,UCMACDVP-002
16,AACC-TMDF-S001,GigabitEthernet1/0/1,GigabitEthernet7/20,AACC-UUT4-S002
17,AACC-TMDF-S002,GigabitEthernet1/0/2,GigabitEthernet7/20,AACC-UUT4-S002
18,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet8/20,SEP84B517AE7AC7
19,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet7/37,SEP001819D52985
20,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet10/31,SEP64D989C2F21E
21,SRMMC-LAS-2NRTH-01,GigabitEthernet1/1/31,GigabitEthernet1/1/1,SRMMC-LCC-CR-V
22,WATKWDCNT-13A02-OS01,GigabitEthernet0/1,GigabitEthernet1/0/2,WSBY13A12S001
23,HCJA-4B-3750,Port 1,FastEthernet1/0/8,SEPC0626BD2B2C8
