deviceName,deviceType,ipAddress,productFamily,modelNr,serialNr,softwareVersion,systemTime,upTime
CA-HCMC-GSTL-001A-S01.network.providence.org,Cisco 3750 Stackable Switches,10.4.90.36,Switches and Hubs,WS-C3750-48PS-S,CAT1012R5GW,12.2(55)SE1,2021-02-16T07:38:05.000Z,8844288699
CA-HCMC-HCPL-003A-S01.network.providence.org,Cisco Catalyst 9300 Switch,10.4.90.49,Switches and Hubs,C9300-48P,FOC2151Q06V,16.6.2,2021-02-16T07:38:05.000Z,30194898229
CA-CONO-FAMG-002A-S01.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.157.255.196,Switches and Hubs,WS-C2960X-48FPD-L,FCW2046B3B4,15.2(2)E5,2021-02-16T07:41:11.000Z,18950809379
WASTPMCNT-0002A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.99.34,Switches and Hubs,C9300-48P,FCW2136L03X,16.6.2,2021-02-16T07:36:43.000Z,74189819194
WPCH-01C-S001.network.providence.org,Cisco 3750 Stackable Switches,10.239.99.50,Switches and Hubs,WS-C3750V2-48PS-S,FDO1520X0UJ,12.2(55)SE1,2021-02-16T07:41:11.000Z,60436345758
AKAKAMCNT-CB055-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.21.138.51,Switches and Hubs,C9300-48P,FCW2130G0EC,16.6.6,2021-02-16T07:35:35.000Z,39233903837
WALACEYNT-01MDF-SW01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.204.1,Switches and Hubs,C9300-48P,FCW2234L0HB,16.8.1a,2021-02-16T07:41:11.000Z,44585657327
WSBY7B4S001.network.providence.org,Cisco Catalyst 2960-24-S Switch,10.227.114.123,Switches and Hubs,WS-C2960-24-S,FOC1414V2TJ,15.0(2)SE11,2021-02-16T07:35:35.000Z,33652678487
WMCH-1A-S002.network.providence.org,Cisco Catalyst 68xx Virtual Switch,10.108.54.25,Switches and Hubs,C6880-X,SAL1933MBSD,15.2(1)SY0a,2021-02-16T07:35:35.000Z,163850212835
ORMFRMCNT-PAV3-R001-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.150.20.27,Switches and Hubs,C9300-48P,FCW2234E08D,16.6.5,2021-02-16T07:41:11.000Z,54995911529
KC-1351Fowler-2960-3.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.111.82.2,Switches and Hubs,WS-C2960XR-48FPD-I,FDO2030B1DH,15.2(2)E5,2021-02-16T07:35:35.000Z,111930723108
CAMHRMCNT-0001B-AS01.stjoe.org,Cisco Catalyst 9300 Switch,10.187.4.110,Switches and Hubs,C9300-48U,FJC2429E0AC,16.12.3a,2021-02-16T07:47:38.000Z,2433869798
CAMHRMONT-04MDF-DS01.stjoe.org,Cisco Catalyst 4500 Virtual Switching System,10.195.1.253,Switches and Hubs,WS-C4500X-32,JAE2005067P,03.11.01.E,2021-02-16T07:47:38.000Z,23186777135
WAKWKEDNT-01MDF1-AS01.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.111.128.2,Switches and Hubs,WS-C2960S-48TS-L,FOC1712W0MG,15.2(1)E1,2021-02-16T07:35:35.000Z,213979661306
CALCMACNT-0001A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.13.37.253,Switches and Hubs,C9300-48P,FCW2222G0MJ,16.9.4,2021-02-16T07:41:11.000Z,26990457709
KMC-RMC1-2960X-1.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.110.164.2,Switches and Hubs,WS-C2960X-48FPD-L,FCW1852A23D,15.0(2a)EX5,2021-02-16T07:35:35.000Z,71998945033
WASHRDBNT-W7IDE-AS250.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.106.255.250,Switches and Hubs,WS-C2960X-48FPD-L,FCW2108B0CV,15.2(2)E6,2021-02-16T07:35:35.000Z,934563144
AKCARESNT-1122-AS03.network.providence.org,Cisco Catalyst 9300 Switch,10.20.59.131,Switches and Hubs,C9300-48P,FOC2244X0XB,16.6.6,2021-02-16T07:35:35.000Z,41572020076
CA-SPMC-EBDG-001N-S02.network.providence.org,Cisco Catalyst 9300 Switch,10.14.90.33,Switches and Hubs,C9300-48P,FOC2250Q0XN,16.9.4,2021-02-16T07:41:11.000Z,28921933779
